SimPoint	BBV	INS	BR	PROC
968.6383805	1225.759987	998.687667	1112.786678	1497.668902
963.6045348	1221.881796	995.6653533	1115.207603	1464.633265
992.6588681	1253.574272	1017.618663	1135.367391	1492.72983
951.1822644	1213.132482	988.2131981	1116.810356	1453.490212
950.2476116	1211.450145	991.448131	1110.738598	1450.320778
950.0072753	1223.672589	989.8758687	1115.478229	1450.39664
987.4875721	1241.051797	1011.857712	1127.795548	1532.635045
950.0935125	1212.565197	987.5697168	1106.845676	1469.37179
961.8961244	1220.493737	997.4508387	1118.911446	1466.820439
965.5555929	1226.228299	997.6321285	1111.058301	1497.490179
950.0601618	1216.474486	987.88334	1116.279836	1486.660181
952.2263358	1233.885259	992.5820238	1114.237246	1452.313391
951.1774461	1213.478185	1000.420173	1103.446334	1459.154409
950.4110998	1212.53968	1002.388276	1102.954261	1452.651193
950.0825045	1211.365895	994.0581991	1104.725371	1472.068023
950.2295263	1212.816287	989.7942137	1102.669261	1450.441547
950.0127465	1211.321266	987.7067618	1103.087641	1461.459132
950.2468331	1211.458315	995.4989701	1102.676109	1470.391098
950.06001	1211.510794	987.5502855	1102.982084	1450.178555
950.0667612	1233.991371	988.7041609	1119.246612	1463.809356
950.0071101	1216.303575	987.9233152	1109.152619	1450.258496
950.3648651	1211.755928	987.7244881	1104.226846	1499.503013
950.0074138	1220.907692	987.5101053	1102.510682	1453.527034
977.2946947	1246.036002	1020.335403	1117.952584	1487.50274
950.500105	1211.66262	1010.531095	1112.613557	1451.254273
967.3978414	1224.765695	1009.306873	1113.543749	1467.929613
950.0477903	1219.671575	989.9455399	1104.559979	1450.175364
950.8168558	1231.554803	988.2707159	1111.731985	1451.778357
950.0229822	1211.404176	1013.817605	1102.62254	1455.789002
962.7215197	1232.414871	995.1643152	1129.437318	1462.867771
987.3636709	1240.21002	1014.596134	1123.053249	1529.609719
950.0860831	1211.322916	996.2037311	1102.679061	1450.127655
950.1576989	1221.773772	1002.738497	1111.165775	1450.216708
950.040043	1221.061835	987.6728523	1112.614342	1452.173485
952.0999867	1213.068131	1011.919518	1103.656475	1454.46067
950.0094782	1211.260886	988.1617157	1105.748564	1450.053067
967.5984444	1237.734163	998.0612914	1113.038395	1467.673897
950.0147264	1218.141699	1019.371999	1104.143825	1474.627788
972.6667355	1242.646388	1028.448615	1114.974476	1486.866346
962.3419768	1221.697858	995.2203709	1109.655808	1462.428491
967.541836	1232.664733	998.6978519	1112.279015	1467.70555
950.1622576	1235.01645	987.629861	1120.213756	1464.227766
995.9029501	1248.280046	1027.052107	1128.469652	1496.54385
968.1007399	1225.281419	1010.39864	1130.767823	1468.136481
973.4269688	1229.514535	1001.634848	1115.560839	1477.648265
950.0714282	1220.886994	987.6005151	1103.618795	1454.958308
950.3663397	1213.185581	987.7229735	1102.756093	1454.406873
986.8167287	1239.875968	1009.790756	1124.961949	1487.109436
971.7112424	1229.438132	1000.543553	1114.519581	1476.788082
950.0036982	1211.258793	1017.088228	1102.772591	1450.956435
970.6104235	1229.158702	1000.213684	1115.914533	1472.331111
969.5894951	1226.441754	1002.274994	1116.871724	1470.853586
957.8820252	1235.232619	993.3522719	1110.486172	1457.911657
950.0033423	1229.171213	987.5274424	1121.910516	1450.008055
954.1804517	1224.073789	990.0113243	1104.950405	1498.510561
950.0038459	1211.298547	1008.996021	1102.503695	1481.08046
950.1671719	1212.028879	988.3222428	1102.60356	1455.823605
959.9231174	1219.225569	995.2155052	1107.96987	1470.348747
951.2651792	1212.236136	990.1516105	1106.742194	1451.973663
950.1702988	1224.726267	991.1067256	1102.619563	1450.174606
950.1384287	1215.495756	988.4745456	1119.982843	1450.260081
953.7835141	1214.19877	1008.195395	1104.641315	1465.465596
950.0351807	1211.477045	987.5945568	1102.527674	1452.511564
950.0109846	1211.266805	1015.981809	1117.117707	1475.216356
956.8265684	1217.709197	991.6024433	1119.155234	1494.259044
950.1693149	1211.756299	990.5027292	1102.636958	1473.231391
967.2538543	1224.701354	1007.222706	1126.900071	1467.544031
955.8090965	1215.805801	991.4807916	1120.194491	1456.463493
950.0044769	1226.817587	987.8001699	1103.911361	1474.345224
951.4449456	1212.384546	988.3698104	1103.322234	1500.543305
950.0218394	1211.285639	988.8787096	1102.675468	1451.094432
950.0041129	1216.993542	1001.192324	1102.538802	1451.741017
950.016893	1211.26651	987.831104	1102.607702	1450.907692
952.1837744	1213.94742	1006.572231	1103.927367	1452.194813
950.6597872	1229.217124	994.331033	1102.864247	1450.682299
953.3217073	1213.832783	989.6919488	1104.972682	1455.067273
956.8483358	1232.218988	991.6887742	1106.279574	1459.031697
950.0104748	1211.380601	990.5826207	1106.821408	1454.897792
950.6583717	1211.763055	994.3815828	1105.472635	1491.530578
951.1941703	1218.987742	992.2527518	1103.160843	1452.312688
955.62546	1215.665926	1005.104633	1112.032911	1457.070146
993.9413593	1247.364316	1013.893719	1126.759757	1502.321012
950.0316657	1223.527111	988.6658914	1103.611904	1453.497139
951.9115512	1213.073019	988.7375712	1107.445358	1477.39649
955.1491736	1226.95095	992.5753918	1114.717432	1455.176279
954.7373971	1231.160159	994.3396874	1111.397273	1483.493441
952.5496244	1213.253713	1012.261125	1117.809134	1452.607181
953.37764	1222.202867	989.5465645	1104.513391	1488.99695
950.0459419	1233.364339	992.929958	1110.064239	1483.048675
988.4713568	1241.095189	1014.358632	1123.696586	1490.051656
969.3137969	1227.845461	999.1150086	1114.547078	1487.457986
952.4594224	1230.904594	988.9823044	1104.134661	1453.118343
950.3867533	1211.990614	1016.885766	1102.716173	1450.413856
950.0618292	1218.74711	987.5950227	1120.72452	1452.092018
950.0079581	1211.294311	994.2157039	1102.516701	1450.041262
950.6997795	1211.854781	987.9233695	1103.593478	1475.646053
956.8034353	1224.105769	991.8021893	1106.47314	1456.812718
981.1614415	1246.73472	1006.210089	1126.576919	1491.287585
957.5161125	1217.224526	992.1079791	1110.822852	1497.302388
950.0043559	1234.469834	1012.773968	1102.534792	1459.685467
951.3701483	1225.764691	988.3505996	1103.789026	1495.676665
962.6526746	1223.108253	1001.984084	1110.130561	1468.617921
952.3341599	1213.253005	988.9036959	1104.987685	1452.340844
987.1692972	1241.374325	1010.976472	1141.312348	1536.312637
950.0149512	1211.822818	989.9409773	1102.576733	1455.362284
951.7402942	1216.17045	988.62765	1106.108457	1478.264114
953.0558655	1233.33615	997.9458953	1107.528919	1465.689326
956.3218987	1230.6306	991.3529198	1106.121729	1458.955335
963.754041	1221.917236	997.5885528	1113.238861	1469.960597
982.3829799	1236.434034	1006.932818	1122.825076	1504.168949
951.6984304	1212.639659	988.7582898	1103.439029	1494.318886
950.0616961	1211.828065	991.7625828	1107.191744	1450.205187
985.5575822	1238.970244	1008.929616	1136.410227	1527.193774
962.1120775	1223.246001	1026.917288	1109.218792	1469.615074
952.6938904	1214.108231	995.7264929	1104.072618	1452.801166
950.0032571	1212.753987	1008.124904	1110.587695	1480.599743
950.0256569	1211.319493	1010.851396	1104.461952	1492.875573
980.0538994	1243.434201	1015.619863	1123.607885	1481.198091
966.7394923	1224.429996	1010.630442	1111.784989	1468.887886
951.8661031	1213.171335	992.8602028	1117.971016	1452.665799
993.5214399	1245.022717	1030.416355	1126.481291	1493.617981
958.3045678	1239.211821	992.490432	1107.144108	1458.331971
950.0369033	1211.281584	990.5120038	1105.803061	1450.064547
950.3215211	1215.44957	996.5519728	1102.682931	1469.760488
971.1410712	1246.442102	1025.542606	1123.158182	1505.771174
953.0039382	1213.639283	989.4934568	1112.721173	1490.489742
951.4037396	1212.35021	988.3490442	1103.275568	1451.411409
950.008637	1235.777587	993.6154086	1102.805426	1451.497514
950.8624384	1211.939407	988.4394662	1106.390986	1500.043491
995.7961746	1246.822488	1015.142494	1128.04692	1495.992448
950.1700752	1217.1765	988.0549375	1102.688083	1486.458869
950.299285	1232.607137	988.8596964	1102.686031	1481.373858
950.0158911	1211.294392	988.3095242	1102.510387	1450.021882
951.1373802	1212.197619	989.3552463	1120.326013	1472.646852
974.6695149	1249.535396	1002.359165	1116.080337	1517.333275
950.8512723	1212.025769	988.0218363	1103.042276	1451.00472
960.2241293	1219.227987	994.1587666	1109.127524	1460.245644
951.7719773	1215.816024	988.7851666	1103.475898	1500.524568
988.7074698	1257.73653	1010.729336	1125.238691	1492.505546
953.8041647	1235.503996	990.5420535	1104.603308	1453.831656
973.0356493	1238.444073	1028.663546	1115.170916	1510.55677
950.02027	1213.422706	989.5358368	1102.609129	1470.832469
989.7533252	1246.32486	1011.690546	1133.828284	1509.039726
995.1958157	1247.588792	1018.282208	1127.412763	1495.202931
968.9080683	1240.029948	998.9337435	1112.947438	1468.919274
979.322232	1255.373961	1005.104337	1123.833965	1483.778522
950.4487283	1211.604857	988.8331918	1106.452865	1452.049397
950.039902	1212.957585	1019.908454	1103.88495	1472.096736
958.6327064	1218.291569	993.0647074	1126.864998	1461.539076
951.6075408	1228.765507	991.9381737	1103.57141	1451.621573
953.9031792	1238.080502	990.5107578	1105.731479	1458.503203
952.4163082	1217.390269	989.2873711	1123.706247	1457.450389
